Triangles sorted by area:
34 40 36 573.738
37 36 25 428.318
36 40 24 426.615
37 22 29 318.81
38 26 23 292.969
19 28 37 260.038
28 30 19 258.852
15 28 36 197.362
23 17 28 195.315
21 24 14 146.207
21 18 16 139.744
11 28 24 130.196
35 25 13 121.64
22 24 11 120.783
16 19 15 116.19
20 12 26 115.373
12 15 23 80.6226
7 34 25 -nan(ind)
19 16 36 -nan(ind)
8 20 40 -nan(ind)
16 34 15 -nan(ind)
36 8 20 -nan(ind)
16 11 28 -nan(ind)
10 26 11 -nan(ind)
24 20 30 239.247
35 23 6 -nan(ind)
25 7 33 -nan(ind)
25 6 20 36.9789
9 5 25 -nan(ind)
38 22 27 291.331
19 10 37 -nan(ind)
26 9 23 102.176
7 14 36 -nan(ind)
12 36 6 -nan(ind)
15 34 28 206.759
40 5 5 -nan(ind)
28 21 37 291.788
11 40 10 -nan(ind)
36 35 34 529.574
33 21 10 -nan(ind)
28 21 16 166.586
35 17 11 -nan(ind)
12 35 37 210
22 23 21 208.71
19 22 24 197.885
18 25 22 192.642
15 25 38 114.473
28 17 15 108.167
25 12 18 100.615
13 10 14 62.3854

Triangles with perimeter between 10 and 1000:
34 40 36 573.738
37 36 25 428.318
36 40 24 426.615
37 22 29 318.81
38 26 23 292.969
19 28 37 260.038
28 30 19 258.852
15 28 36 197.362
23 17 28 195.315
21 24 14 146.207
21 18 16 139.744
11 28 24 130.196
35 25 13 121.64
22 24 11 120.783
16 19 15 116.19
20 12 26 115.373
12 15 23 80.6226
7 34 25 -nan(ind)
19 16 36 -nan(ind)
8 20 40 -nan(ind)
16 34 15 -nan(ind)
36 8 20 -nan(ind)
16 11 28 -nan(ind)
10 26 11 -nan(ind)
24 20 30 239.247
35 23 6 -nan(ind)
25 7 33 -nan(ind)
25 6 20 36.9789
9 5 25 -nan(ind)
38 22 27 291.331
19 10 37 -nan(ind)
26 9 23 102.176
7 14 36 -nan(ind)
12 36 6 -nan(ind)
15 34 28 206.759
40 5 5 -nan(ind)
28 21 37 291.788
11 40 10 -nan(ind)
36 35 34 529.574
33 21 10 -nan(ind)
28 21 16 166.586
35 17 11 -nan(ind)
12 35 37 210
22 23 21 208.71
19 22 24 197.885
18 25 22 192.642
15 25 38 114.473
28 17 15 108.167
25 12 18 100.615
13 10 14 62.3854
